J,2,1
S,2,1
J,2,5
K,2,9
L,2,13
;,2,17
L,2,21
K,2,25
L,2,29

K,3,5
J,3,9
F,3,13
D,3,17
F,3,21
J,3,25
F,3,29

J,4,1
S,4,1
J,4,5
K,4,9
L,4,13
;,4,17
L,4,21
K,4,25
L,4,29

K,5,5
J,5,9
F,5,13
D,5,17
F,5,21
J,5,25
F,5,29

J,6,1
S,6,1
J,6,5
K,6,9
L,6,13
;,6,17
L,6,21
K,6,25
L,6,29

K,7,5
J,7,9
F,7,13
D,7,17
F,7,21
J,7,25
F,7,29

J,8,1
S,8,1
J,8,5
K,8,9
L,8,13
;,8,17
L,8,21
K,8,25
L,8,29

A,9,1
D,9,1
J,9,1
K,9,5
J,9,9
F,9,13
D,9,17
L,9,17
F,9,21
J,9,25
F,9,29

S,10,1
S,10,5
S,10,9
S,10,13
S,10,17
S,10,21
S,10,25
S,10,29
J,10,1
K,10,5
L,10,9
;,10,13
L,10,17
K,10,21
L,10,25
;,10,29

D,11,1
D,11,5
D,11,9
D,11,13
D,11,17
D,11,21
D,11,25
D,11,29
L,11,5
K,11,9
J,11,13
K,11,17
J,11,21
F,11,25
J,11,29

S,12,1
S,12,5
S,12,9
S,12,13
S,12,17
S,12,21
S,12,25
S,12,29
J,12,1
K,12,5
L,12,9
;,12,13
L,12,17
K,12,21
L,12,25
;,12,29

D,13,1
D,13,5
D,13,9
D,13,13
D,13,17
D,13,21
D,13,25
D,13,29
L,13,5
K,13,9
J,13,13
K,13,17
J,13,21
F,13,25
J,13,29

S,14,1
S,14,5
S,14,9
S,14,13
S,14,17
S,14,21
S,14,25
S,14,29
J,14,1
K,14,5
L,14,9
;,14,13
L,14,17
K,14,21
L,14,25
;,14,29

D,15,1
D,15,5
D,15,9
D,15,13
D,15,17
D,15,21
D,15,25
D,15,29
L,15,5
K,15,9
J,15,13
K,15,17
J,15,21
F,15,25
J,15,29

S,16,1
S,16,5
S,16,9
S,16,13
S,16,17
S,16,21
S,16,25
S,16,29
J,16,1
K,16,5
L,16,9
;,16,13
L,16,17
K,16,21
L,16,25
;,16,29

A,17,1
A,17,5
A,17,9
A,17,13
A,17,17
A,17,21
A,17,25
A,17,29
L,17,5
K,17,9
J,17,13
K,17,17
J,17,21
F,17,25
J,17,29

D,19,1
F,19,3
J,19,5
K,19,7
D,19,9
F,19,11
J,19,13
K,19,15
D,19,17
F,19,19
J,19,21
K,19,23
D,19,25
F,19,27
J,19,29
K,19,31

D,20,1
F,20,3
J,20,5
K,20,7
D,20,9
F,20,11
J,20,13
K,20,15
D,20,17
F,20,19
J,20,21
K,20,23
D,20,25
F,20,27
J,20,29
K,20,31

L,21,1
K,21,3
S,21,5
D,21,7
L,21,9
K,21,11
S,21,13
D,21,15
L,21,17
K,21,19
S,21,21
D,21,23
L,21,25
K,21,27
S,21,29
D,21,31

J,22,1
K,22,3
F,22,5
D,22,7
J,22,9
K,22,11
F,22,13
D,22,15
J,22,17
K,22,19
F,22,21
D,22,23
